location,Field_Date,Satellite_Date,Days Gaps,Satellite,Sensor,Scene_Cloud_Pct,Buffer_m,Water_Mask,valid_pixels,Target Variable(Chlorophyll-a),mean_B2,mean_B3,mean_B4,mean_B5,mean_B6,mean_B7,mean_B8,mean_B8A,mean_B11,mean_B12,med_B2,med_B3,med_B4,med_B5,med_B6,med_B7,med_B8,med_B8A,med_B11,med_B12,sd_B2,sd_B3,sd_B4,sd_B8,mean_NDCI,med_NDCI,mean_MNDWI,med_MNDWI,,B2/B3,B2/B4,B2/B5,B2/B6,B2/B7,B2/B8,B2/B8A,B2/B11,B2/B12,B3/B2,B3/B4,B3/B5,B3/B6,B3/B7,B3/B8,B3/B8A,B3/B11,B3/B12,B4/B2,B4/B3,B4/B5,B4/B6,B4/B7,B4/B8,B4/B8A,B4/B11,B4/B12,B5/B2,B5/B3,B5/B4,B5/B6,B5/B7,B5/B8,B5/B8A,B5/B11,B5/B12,B6/B2,B6/B3,B6/B4,B6/B5,B6/B7,B6/B8,B6/B8A,B6/B11,B6/B12,B7/B2,B7/B3,B7/B4,B7/B5,B7/B6,B7/B8,B7/B8A,B7/B11,B7/B12,B8/B2,B8/B3,B8/B4,B8/B5,B8/B6,B8/B7,B8/B8A,B8/B11,B8/B12,B8A/B2,B8A/B3,B8A/B4,B8A/B5,B8A/B6,B8A/B7,B8A/B8,B8A/B11,B8A/B12,B11/B2,B11/B3,B11/B4,B11/B5,B11/B6,B11/B7,B11/B8,B11/B8A,B11/B12,B12/B2,B12/B3,B12/B4,B12/B5,B12/B6,B12/B7,B12/B8,B12/B8A,B12/B11,(B2-B3)/(B2+B3),(B2-B4)/(B2+B4),(B2-B5)/(B2+B5),(B2-B6)/(B2+B6),(B2-B7)/(B2+B7),(B2-B8)/(B2+B8),(B2-B8A)/(B2+B8A),(B2-B11)/(B2+B11),(B2-B12)/(B2+B12),(B3-B4)/(B3+B4),(B3-B5)/(B3+B5),(B3-B6)/(B3+B6),(B3-B7)/(B3+B7),(B3-B8)/(B3+B8),(B3-B8A)/(B3+B8A),(B3-B11)/(B3+B11),(B3-B12)/(B3+B12),(B4-B5)/(B4+B5),(B4-B6)/(B4+B6),(B4-B7)/(B4+B7),(B4-B8)/(B4+B8),(B4-B8A)/(B4+B8A),(B4-B11)/(B4+B11),(B4-B12)/(B4+B12),(B5-B6)/(B5+B6),(B5-B7)/(B5+B7),(B5-B8)/(B5+B8),(B5-B8A)/(B5+B8A),(B5-B11)/(B5+B11),(B5-B12)/(B5+B12),(B6-B7)/(B6+B7),(B6-B8)/(B6+B8),(B6-B8A)/(B6+B8A),(B6-B11)/(B6+B11),(B6-B12)/(B6+B12),(B7-B8)/(B7+B8),(B7-B8A)/(B7+B8A),(B7-B11)/(B7+B11),(B7-B12)/(B7+B12),(B8-B8A)/(B8+B8A),(B8-B11)/(B8+B11),(B8-B12)/(B8+B12),(B8A-B11)/(B8A+B11),(B8A-B12)/(B8A+B12),(B11-B12)/(B11+B12),,,ALL COMBINATIONS vs Chl-a  —  Median Bands S2  (2024 only),,,
5,2024-07-18 0:00:00,2024-07-19 0:00:00,-1,Sentinel-2B,Sentinel-2,3.958743,30,SCL_class6_OR_MNDWI_gt_0,30,14.25,0.026904729,0.034797811,0.021107031,0.028841706,0.014177645,0.016331083,0.013953564,0.010928319,0.004420629,0.00256865,0.0269,0.0347,0.021,0.0288,0.0142,0.016,0.0141,0.011,0.0044,0.0025,0.000849287,0.000843281,0.000589058,0.000571946,0.154865549,0.149700599,0.77452815,0.773195863,,0.7752,1.2810,0.9340,1.8944,1.6813,1.9078,2.4455,6.1136,10.7600,1.2900,1.6524,1.2049,2.4437,2.1688,2.4610,3.1545,7.8864,13.8800,0.7807,0.6052,0.7292,1.4789,1.3125,1.4894,1.9091,4.7727,8.4000,1.0706,0.8300,1.3714,2.0282,1.8000,2.0426,2.6182,6.5455,11.5200,0.5279,0.4092,0.6762,0.4931,0.8875,1.0071,1.2909,3.2273,5.6800,0.5948,0.4611,0.7619,0.5556,1.1268,1.1348,1.4545,3.6364,6.4000,0.5242,0.4063,0.6714,0.4896,0.9930,0.8813,1.2818,3.2045,5.6400,0.4089,0.3170,0.5238,0.3819,0.7746,0.6875,0.7801,2.5000,4.4000,0.1636,0.1268,0.2095,0.1528,0.3099,0.2750,0.3121,0.4000,1.7600,0.0929,0.0720,0.1190,0.0868,0.1761,0.1563,0.1773,0.2273,0.5682,-0.1266,0.1232,-0.0341,0.3090,0.2541,0.3122,0.4195,0.7188,0.8299,0.2460,0.0929,0.4192,0.3688,0.4221,0.5186,0.7749,0.8656,-0.1566,0.1932,0.1351,0.1966,0.3125,0.6535,0.7872,0.3395,0.2857,0.3427,0.4472,0.7349,0.8403,-0.0596,0.0035,0.1270,0.5269,0.7006,0.0631,0.1852,0.5686,0.7297,0.1235,0.5243,0.6988,0.4286,0.6296,0.2754,,,B4/B8A,0.1287,0.0166,? Very weak
6,2024-07-18 0:00:00,2024-07-19 0:00:00,-1,Sentinel-2B,Sentinel-2,3.958743,30,SCL_class6_OR_MNDWI_gt_0,27,9.51,0.025730657,0.039234868,0.020343754,0.025502695,0.017058703,0.018111763,0.016272052,0.0132605,0.004369666,0.002720536,0.0257,0.0389,0.0203,0.0253,0.0169,0.0183,0.0163,0.0132,0.0045,0.0026,0.000737828,0.00093145,0.000476642,0.000475086,0.112438914,0.113043478,0.799547004,0.792626739,,0.6607,1.2660,1.0158,1.5207,1.4044,1.5767,1.9470,5.7111,9.8846,1.5136,1.9163,1.5375,2.3018,2.1257,2.3865,2.9470,8.6444,14.9615,0.7899,0.5219,0.8024,1.2012,1.1093,1.2454,1.5379,4.5111,7.8077,0.9844,0.6504,1.2463,1.4970,1.3825,1.5521,1.9167,5.6222,9.7308,0.6576,0.4344,0.8325,0.6680,0.9235,1.0368,1.2803,3.7556,6.5000,0.7121,0.4704,0.9015,0.7233,1.0828,1.1227,1.3864,4.0667,7.0385,0.6342,0.4190,0.8030,0.6443,0.9645,0.8907,1.2348,3.6222,6.2692,0.5136,0.3393,0.6502,0.5217,0.7811,0.7213,0.8098,2.9333,5.0769,0.1751,0.1157,0.2217,0.1779,0.2663,0.2459,0.2761,0.3409,1.7308,0.1012,0.0668,0.1281,0.1028,0.1538,0.1421,0.1595,0.1970,0.5778,-0.2043,0.1174,0.0078,0.2066,0.1682,0.2238,0.3213,0.7020,0.8163,0.3142,0.2118,0.3943,0.3601,0.4094,0.4933,0.7926,0.8747,-0.1096,0.0914,0.0518,0.1093,0.2119,0.6371,0.7729,0.1991,0.1606,0.2163,0.3143,0.6980,0.8136,-0.0398,0.0181,0.1229,0.5794,0.7333,0.0578,0.1619,0.6053,0.7512,0.1051,0.5673,0.7249,0.4915,0.6709,0.2676,,,B4/B11,-0.0997,0.0099,? Very weak
7,2024-07-18 0:00:00,2024-07-19 0:00:00,-1,Sentinel-2B,Sentinel-2,3.958743,30,SCL_class6_OR_MNDWI_gt_0,27,14.14,0.024401123,0.031462456,0.017994877,0.024788968,0.013233446,0.013647958,0.012397895,0.009473179,0.003448814,0.002549614,0.0246,0.0316,0.0178,0.025,0.0131,0.0138,0.0124,0.0095,0.0035,0.0025,0.000869432,0.00072534,0.000482222,0.000307296,0.158775086,0.154394299,0.802449105,0.801699698,,0.7785,1.3820,0.9840,1.8779,1.7826,1.9839,2.5895,7.0286,9.8400,1.2846,1.7753,1.2640,2.4122,2.2899,2.5484,3.3263,9.0286,12.6400,0.7236,0.5633,0.7120,1.3588,1.2899,1.4355,1.8737,5.0857,7.1200,1.0163,0.7911,1.4045,1.9084,1.8116,2.0161,2.6316,7.1429,10.0000,0.5325,0.4146,0.7360,0.5240,0.9493,1.0565,1.3789,3.7429,5.2400,0.5610,0.4367,0.7753,0.5520,1.0534,1.1129,1.4526,3.9429,5.5200,0.5041,0.3924,0.6966,0.4960,0.9466,0.8986,1.3053,3.5429,4.9600,0.3862,0.3006,0.5337,0.3800,0.7252,0.6884,0.7661,2.7143,3.8000,0.1423,0.1108,0.1966,0.1400,0.2672,0.2536,0.2823,0.3684,1.4000,0.1016,0.0791,0.1404,0.1000,0.1908,0.1812,0.2016,0.2632,0.7143,-0.1246,0.1604,-0.0081,0.3050,0.2813,0.3297,0.4428,0.7509,0.8155,0.2794,0.1166,0.4139,0.3921,0.4364,0.5377,0.8006,0.8534,-0.1682,0.1521,0.1266,0.1788,0.3040,0.6714,0.7537,0.3123,0.2887,0.3369,0.4493,0.7544,0.8182,-0.0260,0.0275,0.1593,0.5783,0.6795,0.0534,0.1845,0.5954,0.6933,0.1324,0.5597,0.6644,0.4615,0.5833,0.1667,,,B4/B12,-0.0686,0.0047,? Very weak
8,2024-07-18 0:00:00,2024-07-19 0:00:00,-1,Sentinel-2B,Sentinel-2,3.958743,30,SCL_class6_OR_MNDWI_gt_0,28,15.21,0.025043331,0.032888964,0.019116821,0.026863493,0.016708481,0.017881424,0.015899087,0.014376678,0.006841168,0.00308829,0.025,0.0328,0.019,0.027,0.0164,0.018,0.0156,0.0145,0.0066,0.0034,0.001001956,0.000978415,0.000759464,0.000800319,0.168691827,0.169892473,0.655891495,0.658792675,,0.7622,1.3158,0.9259,1.5244,1.3889,1.6026,1.7241,3.7879,7.3529,1.3120,1.7263,1.2148,2.0000,1.8222,2.1026,2.2621,4.9697,9.6471,0.7600,0.5793,0.7037,1.1585,1.0556,1.2179,1.3103,2.8788,5.5882,1.0800,0.8232,1.4211,1.6463,1.5000,1.7308,1.8621,4.0909,7.9412,0.6560,0.5000,0.8632,0.6074,0.9111,1.0513,1.1310,2.4848,4.8235,0.7200,0.5488,0.9474,0.6667,1.0976,1.1538,1.2414,2.7273,5.2941,0.6240,0.4756,0.8211,0.5778,0.9512,0.8667,1.0759,2.3636,4.5882,0.5800,0.4421,0.7632,0.5370,0.8841,0.8056,0.9295,2.1970,4.2647,0.2640,0.2012,0.3474,0.2444,0.4024,0.3667,0.4231,0.4552,1.9412,0.1360,0.1037,0.1789,0.1259,0.2073,0.1889,0.2179,0.2345,0.5152,-0.1349,0.1364,-0.0385,0.2077,0.1628,0.2315,0.2658,0.5823,0.7606,0.2664,0.0970,0.3333,0.2913,0.3554,0.3869,0.6650,0.8122,-0.1739,0.0734,0.0270,0.0983,0.1343,0.4844,0.6964,0.2442,0.2000,0.2676,0.3012,0.6071,0.7763,-0.0465,0.0250,0.0615,0.4261,0.6566,0.0714,0.1077,0.4634,0.6822,0.0365,0.4054,0.6421,0.3744,0.6201,0.3200,,,B5/B2,0.6343,0.4024,? Moderate
9,2024-07-18 0:00:00,2024-07-19 0:00:00,-1,Sentinel-2B,Sentinel-2,3.958743,30,SCL_class6_OR_MNDWI_gt_0,29,13.7,0.026466456,0.033052022,0.019626383,0.025800744,0.016476903,0.017174642,0.015976299,0.012415459,0.006343274,0.003668408,0.0254,0.032,0.0185,0.026,0.0156,0.0171,0.0153,0.0118,0.0064,0.0035,0.00365069,0.003479644,0.002629138,0.003046083,0.138301198,0.14790287,0.676999231,0.676712334,,0.7938,1.3730,0.9769,1.6282,1.4854,1.6601,2.1525,3.9688,7.2571,1.2598,1.7297,1.2308,2.0513,1.8713,2.0915,2.7119,5.0000,9.1429,0.7283,0.5781,0.7115,1.1859,1.0819,1.2092,1.5678,2.8906,5.2857,1.0236,0.8125,1.4054,1.6667,1.5205,1.6993,2.2034,4.0625,7.4286,0.6142,0.4875,0.8432,0.6000,0.9123,1.0196,1.3220,2.4375,4.4571,0.6732,0.5344,0.9243,0.6577,1.0962,1.1176,1.4492,2.6719,4.8857,0.6024,0.4781,0.8270,0.5885,0.9808,0.8947,1.2966,2.3906,4.3714,0.4646,0.3688,0.6378,0.4538,0.7564,0.6901,0.7712,1.8438,3.3714,0.2520,0.2000,0.3459,0.2462,0.4103,0.3743,0.4183,0.5424,1.8286,0.1378,0.1094,0.1892,0.1346,0.2244,0.2047,0.2288,0.2966,0.5469,-0.1150,0.1572,-0.0117,0.2390,0.1953,0.2482,0.3656,0.5975,0.7578,0.2673,0.1034,0.3445,0.3035,0.3531,0.4612,0.6667,0.8028,-0.1685,0.0850,0.0393,0.0947,0.2211,0.4859,0.6818,0.2500,0.2065,0.2591,0.3757,0.6049,0.7627,-0.0459,0.0097,0.1387,0.4182,0.6335,0.0556,0.1834,0.4553,0.6602,0.1292,0.4101,0.6277,0.2967,0.5425,0.2929,,,B5/B3,0.6385,0.4077,? Moderate
10,2024-07-18 0:00:00,2024-07-19 0:00:00,-1,Sentinel-2B,Sentinel-2,3.958743,30,SCL_class6_OR_MNDWI_gt_0,29,18.46,0.02782713,0.03332533,0.022305201,0.031976863,0.018157506,0.019833497,0.017286281,0.014727017,0.006300984,0.004050829,0.0279,0.0333,0.0222,0.032,0.018,0.02,0.0172,0.0151,0.0064,0.0041,0.000777737,0.000968346,0.000937906,0.000470585,0.178287874,0.182994455,0.681862991,0.679197967,,0.8378,1.2568,0.8719,1.5500,1.3950,1.6221,1.8477,4.3594,6.8049,1.1935,1.5000,1.0406,1.8500,1.6650,1.9360,2.2053,5.2031,8.1220,0.7957,0.6667,0.6938,1.2333,1.1100,1.2907,1.4702,3.4688,5.4146,1.1470,0.9610,1.4414,1.7778,1.6000,1.8605,2.1192,5.0000,7.8049,0.6452,0.5405,0.8108,0.5625,0.9000,1.0465,1.1921,2.8125,4.3902,0.7168,0.6006,0.9009,0.6250,1.1111,1.1628,1.3245,3.1250,4.8780,0.6165,0.5165,0.7748,0.5375,0.9556,0.8600,1.1391,2.6875,4.1951,0.5412,0.4535,0.6802,0.4719,0.8389,0.7550,0.8779,2.3594,3.6829,0.2294,0.1922,0.2883,0.2000,0.3556,0.3200,0.3721,0.4238,1.5610,0.1470,0.1231,0.1847,0.1281,0.2278,0.2050,0.2384,0.2715,0.6406,-0.0882,0.1138,-0.0684,0.2157,0.1649,0.2373,0.2977,0.6268,0.7438,0.2000,0.0199,0.2982,0.2495,0.3188,0.3760,0.6776,0.7807,-0.1808,0.1045,0.0521,0.1269,0.1903,0.5524,0.6882,0.2800,0.2308,0.3008,0.3588,0.6667,0.7729,-0.0526,0.0227,0.0876,0.4754,0.6290,0.0753,0.1396,0.5152,0.6598,0.0650,0.4576,0.6150,0.4047,0.5729,0.2190,,,B5/B4,0.7437,0.5531,? Strong
11,2024-07-18 0:00:00,2024-07-19 0:00:00,-1,Sentinel-2B,Sentinel-2,3.958743,30,SCL_class6_OR_MNDWI_gt_0,31,11.31,0.031020194,0.039987965,0.026980859,0.039888906,0.023698989,0.025358784,0.023243056,0.018483303,0.010128198,0.006863011,0.0308,0.0399,0.027,0.0401,0.0233,0.0255,0.0233,0.0185,0.01,0.0067,0.001412542,0.001305197,0.000819266,0.000679275,0.193143946,0.195906433,0.596069802,0.604989588,,0.7719,1.1407,0.7681,1.3219,1.2078,1.3219,1.6649,3.0800,4.5970,1.2955,1.4778,0.9950,1.7124,1.5647,1.7124,2.1568,3.9900,5.9552,0.8766,0.6767,0.6733,1.1588,1.0588,1.1588,1.4595,2.7000,4.0299,1.3019,1.0050,1.4852,1.7210,1.5725,1.7210,2.1676,4.0100,5.9851,0.7565,0.5840,0.8630,0.5810,0.9137,1.0000,1.2595,2.3300,3.4776,0.8279,0.6391,0.9444,0.6359,1.0944,1.0944,1.3784,2.5500,3.8060,0.7565,0.5840,0.8630,0.5810,1.0000,0.9137,1.2595,2.3300,3.4776,0.6006,0.4637,0.6852,0.4613,0.7940,0.7255,0.7940,1.8500,2.7612,0.3247,0.2506,0.3704,0.2494,0.4292,0.3922,0.4292,0.5405,1.4925,0.2175,0.1679,0.2481,0.1671,0.2876,0.2627,0.2876,0.3622,0.6700,-0.1287,0.0657,-0.1312,0.1386,0.0941,0.1386,0.2495,0.5098,0.6427,0.1928,-0.0025,0.2627,0.2202,0.2627,0.3664,0.5992,0.7124,-0.1952,0.0736,0.0286,0.0736,0.1868,0.4595,0.6024,0.2650,0.2226,0.2650,0.3686,0.6008,0.7137,-0.0451,0.0000,0.1148,0.3994,0.5533,0.0451,0.1591,0.4366,0.5839,0.1148,0.3994,0.5533,0.2982,0.4683,0.1976,,,B5/B6,0.2028,0.0411,? Very weak
1,2024-08-30 0:00:00,2024-08-28 0:00:00,2,Sentinel-2B,Sentinel-2,9.980597,30,SCL_class6_OR_MNDWI_gt_0,26,14.9,0.034311437,0.05275,0.027703663,0.037611591,0.024466713,0.026574797,0.021806974,0.021160385,0.010953971,0.007271765,0.0344,0.0526,0.0278,0.0377,0.0247,0.0266,0.0218,0.0212,0.0105,0.0071,0.00113224,0.000984322,0.00064332,0.000469499,0.151773639,0.151145038,0.656394304,0.66459626,,0.6540,1.2374,0.9125,1.3927,1.2932,1.5780,1.6226,3.2762,4.8451,1.5291,1.8921,1.3952,2.1296,1.9774,2.4128,2.4811,5.0095,7.4085,0.8081,0.5285,0.7374,1.1255,1.0451,1.2752,1.3113,2.6476,3.9155,1.0959,0.7167,1.3561,1.5263,1.4173,1.7294,1.7783,3.5905,5.3099,0.7180,0.4696,0.8885,0.6552,0.9286,1.1330,1.1651,2.3524,3.4789,0.7733,0.5057,0.9568,0.7056,1.0769,1.2202,1.2547,2.5333,3.7465,0.6337,0.4144,0.7842,0.5782,0.8826,0.8195,1.0283,2.0762,3.0704,0.6163,0.4030,0.7626,0.5623,0.8583,0.7970,0.9725,2.0190,2.9859,0.3052,0.1996,0.3777,0.2785,0.4251,0.3947,0.4817,0.4953,1.4789,0.2064,0.1350,0.2554,0.1883,0.2874,0.2669,0.3257,0.3349,0.6762,-0.2092,0.1061,-0.0458,0.1641,0.1279,0.2242,0.2374,0.5323,0.6578,0.3085,0.1650,0.3609,0.3283,0.4140,0.4255,0.6672,0.7621,-0.1511,0.0590,0.0221,0.1210,0.1347,0.4517,0.5931,0.2083,0.1726,0.2672,0.2801,0.5643,0.6830,-0.0370,0.0624,0.0763,0.4034,0.5535,0.0992,0.1130,0.4340,0.5786,0.0140,0.3498,0.5087,0.3375,0.4982,0.1932,,,B5/B7,0.2079,0.0432,? Very weak
2,2024-08-30 0:00:00,2024-08-28 0:00:00,2,Sentinel-2B,Sentinel-2,9.980597,30,SCL_class6_OR_MNDWI_gt_0,29,17.2,0.033814288,0.051274442,0.026774989,0.037143523,0.022503186,0.02415266,0.019792154,0.017813502,0.008265025,0.005532042,0.0339,0.0512,0.0268,0.0371,0.0223,0.024,0.0197,0.0178,0.0082,0.0055,0.001054349,0.00092936,0.000539145,0.000330855,0.16227029,0.162420382,0.722318,0.721088409,,0.6621,1.2649,0.9137,1.5202,1.4125,1.7208,1.9045,4.1341,6.1636,1.5103,1.9104,1.3801,2.2960,2.1333,2.5990,2.8764,6.2439,9.3091,0.7906,0.5234,0.7224,1.2018,1.1167,1.3604,1.5056,3.2683,4.8727,1.0944,0.7246,1.3843,1.6637,1.5458,1.8832,2.0843,4.5244,6.7455,0.6578,0.4355,0.8321,0.6011,0.9292,1.1320,1.2528,2.7195,4.0545,0.7080,0.4688,0.8955,0.6469,1.0762,1.2183,1.3483,2.9268,4.3636,0.5811,0.3848,0.7351,0.5310,0.8834,0.8208,1.1067,2.4024,3.5818,0.5251,0.3477,0.6642,0.4798,0.7982,0.7417,0.9036,2.1707,3.2364,0.2419,0.1602,0.3060,0.2210,0.3677,0.3417,0.4162,0.4607,1.4909,0.1622,0.1074,0.2052,0.1482,0.2466,0.2292,0.2792,0.3090,0.6707,-0.2033,0.1170,-0.0451,0.2064,0.1710,0.2649,0.3114,0.6105,0.7208,0.3128,0.1597,0.3932,0.3617,0.4443,0.4841,0.7239,0.8060,-0.1612,0.0916,0.0551,0.1527,0.2018,0.5314,0.6594,0.2492,0.2144,0.3063,0.3515,0.6380,0.7418,-0.0367,0.0619,0.1122,0.4623,0.6043,0.0984,0.1483,0.4907,0.6271,0.0507,0.4122,0.5635,0.3692,0.5279,0.1971,,,B5/B8,0.2197,0.0483,? Very weak
4,2024-08-30 0:00:00,2024-08-28 0:00:00,2,Sentinel-2B,Sentinel-2,9.980597,30,SCL_class6_OR_MNDWI_gt_0,26,11.62,0.033668021,0.047362398,0.02545492,0.035533104,0.025492915,0.027685817,0.022646177,0.022992522,0.008973292,0.00662869,0.0337,0.0474,0.0254,0.0355,0.0254,0.0276,0.0225,0.0231,0.0089,0.0066,0.000875404,0.001150919,0.000296428,0.000351434,0.165267367,0.166123779,0.681317534,0.681159437,,0.7110,1.3268,0.9493,1.3268,1.2210,1.4978,1.4589,3.7865,5.1061,1.4065,1.8661,1.3352,1.8661,1.7174,2.1067,2.0519,5.3258,7.1818,0.7537,0.5359,0.7155,1.0000,0.9203,1.1289,1.0996,2.8539,3.8485,1.0534,0.7489,1.3976,1.3976,1.2862,1.5778,1.5368,3.9888,5.3788,0.7537,0.5359,1.0000,0.7155,0.9203,1.1289,1.0996,2.8539,3.8485,0.8190,0.5823,1.0866,0.7775,1.0866,1.2267,1.1948,3.1011,4.1818,0.6677,0.4747,0.8858,0.6338,0.8858,0.8152,0.9740,2.5281,3.4091,0.6855,0.4873,0.9094,0.6507,0.9094,0.8370,1.0267,2.5955,3.5000,0.2641,0.1878,0.3504,0.2507,0.3504,0.3225,0.3956,0.3853,1.3485,0.1958,0.1392,0.2598,0.1859,0.2598,0.2391,0.2933,0.2857,0.7416,-0.1689,0.1404,-0.0260,0.1404,0.0995,0.1993,0.1866,0.5822,0.6725,0.3022,0.1435,0.3022,0.2640,0.3562,0.3447,0.6838,0.7556,-0.1658,0.0000,-0.0415,0.0605,0.0474,0.4810,0.5875,0.1658,0.1252,0.2241,0.2116,0.5991,0.6865,-0.0415,0.0605,0.0474,0.4810,0.5875,0.1018,0.0888,0.5123,0.6140,-0.0132,0.4331,0.5464,0.4438,0.5556,0.1484,,,B5/B8A,0.1578,0.0249,? Very weak
5,2024-08-30 0:00:00,2024-08-28 0:00:00,2,Sentinel-2B,Sentinel-2,9.980597,30,SCL_class6_OR_MNDWI_gt_0,30,12.31,0.034228768,0.048623,0.028079722,0.035317205,0.022164258,0.024925554,0.019094022,0.018509921,0.00910675,0.005254659,0.0341,0.0485,0.0282,0.0351,0.0224,0.025,0.0189,0.0184,0.0089,0.0054,0.000893737,0.000996488,0.000501653,0.000502051,0.114209013,0.114285714,0.684619234,0.689285696,,0.7031,1.2092,0.9715,1.5223,1.3640,1.8042,1.8533,3.8315,6.3148,1.4223,1.7199,1.3818,2.1652,1.9400,2.5661,2.6359,5.4494,8.9815,0.8270,0.5814,0.8034,1.2589,1.1280,1.4921,1.5326,3.1685,5.2222,1.0293,0.7237,1.2447,1.5670,1.4040,1.8571,1.9076,3.9438,6.5000,0.6569,0.4619,0.7943,0.6382,0.8960,1.1852,1.2174,2.5169,4.1481,0.7331,0.5155,0.8865,0.7123,1.1161,1.3228,1.3587,2.8090,4.6296,0.5543,0.3897,0.6702,0.5385,0.8438,0.7560,1.0272,2.1236,3.5000,0.5396,0.3794,0.6525,0.5242,0.8214,0.7360,0.9735,2.0674,3.4074,0.2610,0.1835,0.3156,0.2536,0.3973,0.3560,0.4709,0.4837,1.6481,0.1584,0.1113,0.1915,0.1538,0.2411,0.2160,0.2857,0.2935,0.6067,-0.1743,0.0947,-0.0145,0.2071,0.1540,0.2868,0.2990,0.5860,0.7266,0.2647,0.1603,0.3681,0.3197,0.4392,0.4499,0.6899,0.7996,-0.1090,0.1146,0.0602,0.1975,0.2103,0.5202,0.6786,0.2209,0.1681,0.3000,0.3121,0.5955,0.7333,-0.0549,0.0847,0.0980,0.4313,0.6115,0.1390,0.1521,0.4749,0.6447,0.0134,0.3597,0.5556,0.3480,0.5462,0.2448,,,B5/B11,0.1516,0.0230,? Very weak
6,2024-08-30 0:00:00,2024-08-28 0:00:00,2,Sentinel-2B,Sentinel-2,9.980597,30,SCL_class6_OR_MNDWI_gt_0,27,19.77,0.034371757,0.051729295,0.027124368,0.038329492,0.026809349,0.030134222,0.024136131,0.024506106,0.010028902,0.006275674,0.0343,0.0516,0.0272,0.0383,0.0271,0.03,0.024,0.0247,0.0102,0.0063,0.000879955,0.000703392,0.000709624,0.000491659,0.171280681,0.167682927,0.675269556,0.671497583,,0.6647,1.2610,0.8956,1.2657,1.1433,1.4292,1.3887,3.3627,5.4444,1.5044,1.8971,1.3473,1.9041,1.7200,2.1500,2.0891,5.0588,8.1905,0.7930,0.5271,0.7102,1.0037,0.9067,1.1333,1.1012,2.6667,4.3175,1.1166,0.7422,1.4081,1.4133,1.2767,1.5958,1.5506,3.7549,6.0794,0.7901,0.5252,0.9963,0.7076,0.9033,1.1292,1.0972,2.6569,4.3016,0.8746,0.5814,1.1029,0.7833,1.1070,1.2500,1.2146,2.9412,4.7619,0.6997,0.4651,0.8824,0.6266,0.8856,0.8000,0.9717,2.3529,3.8095,0.7201,0.4787,0.9081,0.6449,0.9114,0.8233,1.0292,2.4216,3.9206,0.2974,0.1977,0.3750,0.2663,0.3764,0.3400,0.4250,0.4130,1.6190,0.1837,0.1221,0.2316,0.1645,0.2325,0.2100,0.2625,0.2551,0.6176,-0.2014,0.1154,-0.0551,0.1173,0.0669,0.1767,0.1627,0.5416,0.6897,0.3096,0.1479,0.3113,0.2647,0.3651,0.3526,0.6699,0.7824,-0.1695,0.0018,-0.0490,0.0625,0.0482,0.4545,0.6239,0.1713,0.1215,0.2295,0.2159,0.5794,0.7175,-0.0508,0.0607,0.0463,0.4531,0.6228,0.1111,0.0969,0.4925,0.6529,-0.0144,0.4035,0.5842,0.4155,0.5935,0.2364,,,B5/B12,0.1372,0.0188,? Very weak
7,2024-08-30 0:00:00,2024-08-28 0:00:00,2,Sentinel-2B,Sentinel-2,9.980597,30,SCL_class6_OR_MNDWI_gt_0,27,14.12,0.034184575,0.046914498,0.025861825,0.036909179,0.024642189,0.027306175,0.02219833,0.020969277,0.008819747,0.005105137,0.034,0.0467,0.0259,0.0369,0.0245,0.0272,0.0222,0.0208,0.0088,0.005,0.001262382,0.001184896,0.000937425,0.000354551,0.176141386,0.173290938,0.683535347,0.681901276,,0.7281,1.3127,0.9214,1.3878,1.2500,1.5315,1.6346,3.8636,6.8000,1.3735,1.8031,1.2656,1.9061,1.7169,2.1036,2.2452,5.3068,9.3400,0.7618,0.5546,0.7019,1.0571,0.9522,1.1667,1.2452,2.9432,5.1800,1.0853,0.7901,1.4247,1.5061,1.3566,1.6622,1.7740,4.1932,7.3800,0.7206,0.5246,0.9459,0.6640,0.9007,1.1036,1.1779,2.7841,4.9000,0.8000,0.5824,1.0502,0.7371,1.1102,1.2252,1.3077,3.0909,5.4400,0.6529,0.4754,0.8571,0.6016,0.9061,0.8162,1.0673,2.5227,4.4400,0.6118,0.4454,0.8031,0.5637,0.8490,0.7647,0.9369,2.3636,4.1600,0.2588,0.1884,0.3398,0.2385,0.3592,0.3235,0.3964,0.4231,1.7600,0.1471,0.1071,0.1931,0.1355,0.2041,0.1838,0.2252,0.2404,0.5682,-0.1574,0.1352,-0.0409,0.1624,0.1111,0.2100,0.2409,0.5888,0.7436,0.2865,0.1172,0.3118,0.2639,0.3556,0.3837,0.6829,0.8066,-0.1752,0.0278,-0.0245,0.0769,0.1092,0.4928,0.6764,0.2020,0.1513,0.2487,0.2790,0.6149,0.7613,-0.0522,0.0493,0.0817,0.4715,0.6610,0.1012,0.1333,0.5111,0.6894,0.0326,0.4323,0.6324,0.4054,0.6124,0.2754,,,B6/B2,0.2207,0.0487,? Very weak
